date,value
2024-02-15,5.501309640066964e-10
2024-02-16,5.506190708705357e-10
2024-02-19,5.4740478515625e-10
2024-02-20,5.5625e-10
2024-02-21,5.542916434151785e-10
2024-02-22,5.563809640066964e-10
2024-02-23,5.579881068638393e-10
2024-02-26,5.556011672247024e-10
2024-02-27,5.463988095238096e-10
2024-02-28,5.394285946800595e-10
2024-02-29,5.472440592447917e-10
2024-03-01,5.289069880995639e-10
2024-03-04,5.178895462390989e-10
2024-03-05,5.151453488372094e-10
2024-03-06,5.084069540334302e-10
2024-03-07,5.26406988099564e-10
2024-03-08,5.322848723655523e-10
2024-03-11,5.309185932957849e-10
2024-03-12,5.272674418604651e-10
2024-03-13,5.180348950763081e-10
2024-03-14,5.164825581395349e-10
2024-03-15,5.132965229832849e-10
2024-03-18,5.068662563590116e-10
2024-03-19,5.191802552688954e-10
2024-03-20,5.206453261264535e-10
2024-03-21,5.314360578670058e-10
2024-03-22,5.297383720930232e-10
2024-03-25,5.249651389898256e-10
2024-03-26,5.120581622456395e-10
2024-03-27,5.120174532158431e-10
2024-03-28,5.279069767441861e-10
2024-03-29,5.31534906431686e-10
2024-04-01,5.203125e-10
2024-04-02,5.136875221946023e-10
2024-04-03,5.082840798117897e-10
2024-04-04,5.186931818181819e-10
2024-04-05,5.465227161754261e-10
2024-04-08,5.543579656427557e-10
2024-04-09,5.576250110973012e-10
2024-04-15,5.499886252663353e-10
2024-04-16,5.425056596235796e-10
2024-04-17,5.415056818181818e-10
2024-04-18,5.411704323508523e-10
2024-04-19,5.507670454545455e-10
2024-04-22,5.480113636363636e-10
2024-04-24,5.523920232599432e-10
2024-04-25,5.52090897993608e-10
2024-04-26,5.633863414417613e-10
2024-04-29,5.728863525390625e-10
2024-04-30,5.707784201882102e-10
2024-05-02,5.671500108506945e-10
2024-05-03,5.709389105902777e-10
2024-05-06,5.703944227430556e-10
2024-05-07,5.7425e-10
2024-05-08,5.693222113715278e-10
2024-05-09,5.704777560763888e-10
2024-05-10,5.676999782986111e-10
2024-05-13,5.586666666666667e-10
2024-05-14,5.651889105902777e-10
2024-05-15,5.643666449652778e-10
2024-05-16,5.733333333333333e-10
2024-05-17,5.913110894097223e-10
2024-05-20,5.966444227430556e-10
2024-05-21,6.0529443359375e-10
2024-05-22,6.055166558159722e-10
2024-05-23,5.995833333333333e-10
2024-05-24,5.931500108506945e-10
2024-05-27,5.920555555555556e-10
2024-05-28,5.931944444444445e-10
2024-05-29,5.821777886284722e-10
2024-05-30,5.8229443359375e-10
2024-05-31,5.778055555555555e-10
2024-06-03,5.706378272804054e-10
2024-06-04,5.602486275337838e-10
2024-06-05,5.595135135135135e-10
2024-06-06,5.556594700168919e-10
2024-06-07,5.480540540540541e-10
2024-06-10,5.404270481418919e-10
2024-06-11,5.433189400337838e-10
2024-06-12,5.494864864864865e-10
2024-06-13,5.617243454391892e-10
2024-06-14,5.660162056587838e-10
2024-06-20,5.8053515625e-10
2024-06-21,5.822378589527027e-10
2024-06-24,5.820486697635136e-10
2024-06-25,5.772972972972973e-10
2024-06-26,5.66848659206081e-10
2024-06-27,5.773459670608108e-10
2024-06-28,5.75562183277027e-10
2024-07-01,5.472645399305556e-10
2024-07-02,5.527090050429895e-10
2024-07-03,5.651957775297619e-10
2024-07-04,5.752698206018519e-10
2024-07-05,5.741693018353175e-10
2024-07-08,5.748200851521164e-10
2024-07-09,5.712486565806878e-10
2024-07-10,5.684285610945767e-10
2024-07-11,5.832962859623016e-10
2024-07-12,5.854444651124338e-10
2024-07-16,5.893809420469576e-10
2024-07-17,5.891057994378307e-10
2024-07-18,5.893915343915344e-10
2024-07-19,5.90275142609127e-10
2024-07-22,5.911534288194445e-10
2024-07-23,5.867460317460317e-10
2024-07-24,5.815661168981482e-10
2024-07-25,5.752116402116402e-10
2024-07-26,5.762645709325397e-10
2024-07-29,5.679259155919312e-10
2024-07-30,5.656984230324074e-10
2024-07-31,5.628888682208995e-10
2024-08-01,5.594870263924871e-10
2024-08-02,5.426683937823835e-10
2024-08-05,5.126114192033679e-10
2024-08-06,5.119792847312176e-10
2024-08-07,5.19393772263601e-10
2024-08-08,5.23238341968912e-10
2024-08-09,5.133368078044041e-10
2024-08-12,5.092538657707254e-10
2024-08-13,5.140207051489637e-10
2024-08-14,5.09373077234456e-10
2024-08-15,5.172538860103627e-10
2024-08-16,5.089119170984455e-10
2024-08-19,5.209430153011658e-10
2024-08-20,5.172176064604922e-10
2024-08-21,5.132020624190414e-10
2024-08-22,5.140621964054404e-10
2024-08-23,5.009378035945596e-10
2024-08-26,4.956372955796633e-10
2024-08-27,5.051191608646373e-10
2024-08-28,5.055544142648964e-10
2024-08-29,5.094922380990933e-10
2024-09-02,5.132081317417513e-10
2024-09-03,5.08720802268401e-10
2024-09-04,5.068477355647209e-10
2024-09-05,5.044060814562183e-10
2024-09-06,4.960000099143401e-10
2024-09-09,4.923654624048224e-10
2024-09-10,4.885279187817259e-10
2024-09-11,4.781573703204315e-10
2024-09-12,4.832994923857868e-10
2024-09-13,4.916497461928935e-10
2024-09-16,4.861675126903554e-10
2024-09-17,4.953350055520305e-10
2024-09-18,4.961675126903553e-10
2024-09-19,5.063756146890862e-10
2024-09-20,5.025532895780457e-10
2024-09-23,5.019187718115482e-10
2024-09-24,5.091218373255077e-10
2024-09-25,5.020812182741117e-10
2024-09-26,4.989441723508884e-10
2024-09-27,4.963197969543147e-10
2024-09-30,4.906497362785533e-10
2024-10-01,4.6523384056281095e-10
2024-10-02,4.484030045087065e-10
2024-10-03,4.4269652712997515e-10
2024-10-04,4.5319899525808456e-10
2024-10-07,4.493333138992537e-10
2024-10-08,4.499950443097015e-10
2024-10-09,4.5434327386504974e-10
2024-10-10,4.4597510494402986e-10
2024-10-11,4.4160199976679103e-10
2024-10-14,4.327960296175373e-10
2024-10-15,4.4081093555659203e-10
2024-10-16,4.455721393034826e-10
2024-10-17,4.478756121735075e-10
2024-10-18,4.3749251787935325e-10
2024-10-21,4.305671836131841e-10
2024-10-22,4.397313238495025e-10
2024-10-23,4.335671738961443e-10
2024-10-24,4.4143783037935323e-10
2024-10-25,4.432089552238806e-10
